time,x,y,yaw
1774682562.440387,-4.345288456440889,-24.899155839844187,-0.9563936445069032
1774682562.4903784,-4.316618191662118,-24.94011083336246,-0.9600551504766912
1774682562.5403929,-4.288078550766562,-24.981185538793454,-0.9630377033384868
1774682562.590394,-4.259660867655612,-25.022327962463585,-0.9654202625541776
1774682562.6404784,-4.231294671424014,-25.063607000504938,-0.9680159520756196
1774682562.6903937,-4.20313535402922,-25.10482249605148,-0.9707920088414528
1774682562.7403955,-4.175045964803096,-25.146190493098764,-0.9737056160365349
1774682562.790393,-4.147082606301478,-25.187638661310974,-0.9767083611390931
1774682562.8403876,-4.119247177775272,-25.22916890536956,-0.9797729744498285
1774682562.8903902,-4.091534808105117,-25.27079128562915,-0.9828823156477783
1774682562.9403946,-4.06395023619166,-25.312500738258983,-0.9860242031991301
1774682562.9903634,-4.036515243422693,-25.354265708694715,-0.9891883441745497
1774682563.0404594,-4.009141331352737,-25.396222814861595,-0.9923794527414368
1774682563.090381,-3.9819950781214946,-25.43811973087672,-0.9956160088780895
1774682563.1404214,-3.954919628589449,-25.48020413302033,-0.9989655052125582
1774682563.190349,-3.928045782429709,-25.522283675689337,-1.0023970868303471
1774682563.2403858,-3.901257943275338,-25.564546956973484,-1.0059111646803958
1774682563.290352,-3.874655928731572,-25.606844366339136,-1.0094855489661292
1774682563.3404171,-3.8481527967117675,-25.649320140572836,-1.01312402154677
1774682563.3904357,-3.8218286522475413,-25.691852487349646,-1.0168107732078502
1774682563.4404266,-3.795675964274469,-25.73445785628967,-1.0205420632169222
1774682563.4903097,-3.7697384977139663,-25.777068417637324,-1.0243076034286913
1774682563.5403178,-3.7438973633238986,-25.81988364274811,-1.0281196601964404
1774682563.590392,-3.7181864776040365,-25.862854158629055,-1.0319772609017128
1774682563.640385,-3.692685023904094,-25.90585479555921,-1.0359582283239401
1774682563.6903923,-3.6673501210920563,-25.94897038088347,-1.040053192168314
1774682563.7403998,-3.64219426603585,-25.992190965299045,-1.0442438043299274
1774682563.7904575,-3.6171969911060886,-26.035561424269098,-1.0485212014832852
1774682563.8403409,-3.5924738873014705,-26.078888005324686,-1.0528578243324125
1774682563.8903725,-3.5678678994253055,-26.12245187395126,-1.0572712386212464
1774682563.9404006,-3.543458294338503,-26.16612184259969,-1.0617426881956806
1774682563.9903772,-3.519271171761501,-26.20985653514432,-1.0662625618150336
1774682564.0403945,-3.4952645508386113,-26.253736950449554,-1.070833041925467
1774682564.0903919,-3.4714703634543356,-26.29771029732362,-1.0754439328090886
1774682564.1404228,-3.4478666703298906,-26.341824005971528,-1.080170407046027
1774682564.1903756,-3.4245118626900592,-26.38598187072495,-1.0850128215339288
1774682564.2403464,-3.40136642503544,-26.430270322656774,-1.0899613479932513
1774682564.2903917,-3.3784099737227185,-26.47474054217717,-1.0950059802381915
1774682564.3403196,-3.355734537544603,-26.519223197171033,-1.1001174024219176
1774682564.3904006,-3.3332211708516897,-26.563959332817372,-1.1053117563752572
1774682564.4404178,-3.3109717822488482,-26.60875621632883,-1.1105606175595095
1774682564.4903476,-3.2889989435073312,-26.65359221998293,-1.1158545959557769
1774682564.540319,-3.267248445239573,-26.698582535429388,-1.1211997371433178
1774682564.59038,-3.2457030238433924,-26.743770795729127,-1.1265952838189661
1774682564.6404269,-3.2244111991773843,-26.78906348486486,-1.1320712703307243
1774682564.6904027,-3.203401741014674,-26.834409510779725,-1.1376649366486258
1774682564.7403998,-3.182641535161168,-26.879893824407958,-1.1433669911303377
1774682564.790425,-3.1621335971047895,-26.925523020037474,-1.1491609894867905
1774682564.8404052,-3.141912221056221,-26.971230651327907,-1.1550259733768726
1774682564.890376,-3.121966251156435,-27.01704903469398,-1.160955236913525
1774682564.9403625,-3.102289321401215,-27.063000448434387,-1.1669427242066897
1774682564.9903624,-3.0828855994546265,-27.10908272238809,-1.1729807645887451
1774682565.0403836,-3.0637553473148302,-27.155302113128787,-1.1790635243518153
1774682565.090366,-3.044924081038702,-27.201602127559422,-1.1851777628713773
1774682565.1403773,-3.0263682169214294,-27.248044422544485,-1.191318187930083
1774682565.1903584,-3.0081110503384956,-27.294572566066467,-1.1974406921896137
1774682565.2403927,-2.990122196665785,-27.34126200239572,-1.203561408497304
1774682565.2904,-2.9724311581740563,-27.38803650244887,-1.209676646399154
1774682565.340433,-2.9550200812247476,-27.43494289709402,-1.2157959487388115
1774682565.3903823,-2.937927214443545,-27.48187733586446,-1.2219079575602552
1774682565.4403856,-2.921105709840281,-27.52896706746522,-1.2280298668871883
1774682565.4903622,-2.90458393356082,-27.57613433301038,-1.2341520284275416
1774682565.540389,-2.8883371197804393,-27.6234501627644,-1.2402834836646117
1774682565.5903468,-2.872404613434612,-27.670800079852185,-1.2464092370609594
1774682565.6403735,-2.8581541363269576,-27.71439589213411,-1.2518532106212952
1774682565.6904504,-2.845126859865486,-27.75512612676874,-1.2566983413028001
1774682565.7404149,-2.8331032005358465,-27.793338203985854,-1.260981621409521
1774682565.7903156,-2.8219168766163913,-27.829332154762874,-1.2647453666201398
1774682565.8404238,-2.8114204124980775,-27.863430894285326,-1.2680381200756534
1774682565.890383,-2.801663979824276,-27.895368494069796,-1.270836033020535
1774682565.9404466,-2.7925661110898066,-27.925326942493065,-1.2731703758252768
1774682565.9903893,-2.7841672758251983,-27.953107537005614,-1.2750246170189763
1774682566.0403905,-2.7764256192730876,-27.97879307807081,-1.276414540035889
1774682566.0903862,-2.7693539884286658,-28.002294629418746,-1.2773335486640924
1774682566.1403995,-2.762949201119143,-28.023584362201824,-1.2777811334079685
1774682566.1903687,-2.75722203364033,-28.042595816051747,-1.2777521626001243
1774682566.240353,-2.752167964225285,-28.05933130234428,-1.2777119682351377
1774682566.2903671,-2.747799261401356,-28.073771302967444,-1.2778301066232052
1774682566.340403,-2.7441286001939753,-28.085891218566445,-1.2780376418163077
1774682566.3903987,-2.7411673971019295,-28.09565590418614,-1.278288702443753
1774682566.440379,-2.738915218829578,-28.103064298055664,-1.278556173018986
1774682566.4903936,-2.7373707001620646,-28.108116610388812,-1.2788233440290553
1774682566.540365,-2.736539543349322,-28.110788790508288,-1.2790781818827455
1774682566.5903888,-2.7364185447908875,-28.111088399041623,-1.2793164978117137
1774682566.6403952,-2.735799840186067,-28.112984710679363,-1.2795343037778506
1774682566.6904361,-2.734989336876196,-28.115510641113516,-1.2797314506695043
