x,y
11.025000909343362,6.075000835582614
11.5102473436558,5.9213603759005045
12.002053403122316,5.789634186585095
12.49386451624098,5.657926804276651
12.985675629359642,5.526219421968207
13.477486742478305,5.394512039659763
13.969297855596967,5.262804657351319
14.46110896871563,5.131097275042875
14.953340914009246,5.001012383848126
15.452624333111855,4.902090392999394
15.958495380642535,4.845841160698162
16.467313618941887,4.832669477502384
16.97541740126113,4.8626701317811065
17.48763928165413,4.914790416982678
17.999750769134607,4.9748909559084495
